nest_id,site,box,lon,lat,easting,northing,elevation
BAD NB1,BAD,1,-3.446229,56.122492,310186.8192,693137.1413,180.516052
BAD NB2,BAD,2,-3.445569,56.122305,310227.4119,693115.4702,175.36792
BAD NB3,BAD,3,-3.44533,56.121981,310241.5139,693079.1011,174.354538
BAD NB4,BAD,4,-3.444778,56.121584,310274.904,693034.2004,176.346283
BAD NB5,BAD,5,-3.44428,56.121226,310305.0287,692993.7105,176.868988
BAD NB6,BAD,6,-3.44411,56.120633,310314.2155,692927.4947,169.337936
BIR NB1,BIR,1,-3.530994,56.537075,305943.9393,739390.3237,98.662056
BIR NB2,BIR,2,-3.531761,56.537094,305896.821,739393.4904,101.067307
BIR NB3,BIR,3,-3.532375,56.537213,305859.3598,739407.5771,101.452271
BIR NB4,BIR,4,-3.535662,56.537209,305657.2219,739411.6484,78.462479
BIR NB5,BIR,5,-3.536128,56.536994,305628.0307,739388.3612,86.819672
BIR NB6,BIR,6,-3.53665,56.536813,305595.4803,739368.9352,95.273117
BIR NB8,BIR,8,-3.536722,56.536417,305590.0662,739324.9616,95.947166
BIR NB9,BIR,9,-3.53635,56.53725,303139.04,739417.16,84
BLA NB1,BLA,1,-3.849209,56.761182,287049.158,764812.8029,160.849899
BLA NB2,BLA,2,-3.849413,56.760789,287035.507,764769.4022,169.566879
BLA NB3,BLA,3,-3.849611,56.76059,287022.8058,764747.5822,176.674866
BLA NB4,BLA,4,-3.849754,56.760294,287013.1747,764714.8761,184.100098
BLA NB5,BLA,5,-3.849839,56.759976,287007.0228,764679.6259,192.72345
BLA NB6,BLA,6,-3.849695,56.75959,287014.6647,764636.4297,206.000961
BLA NB7,BLA,7,-3.848901,56.759596,287063.2185,764635.7866,202.893051
BLA NB8,BLA,8,-3.848989,56.761529,287063.6485,764851.0578,153.503418
BLG NB1,BLG,1,-3.664306,56.650073,298051.3175,752156.9727,80.490005
BLG NB2,BLG,2,-3.663579,56.649852,298095.292,752131.2951,94.03933
BLG NB3,BLG,3,-3.663728,56.649637,298085.5763,752107.5886,83.137527
BLG NB4,BLG,4,-3.662844,56.649367,298139.0449,752076.2244,94.950531
BLG NB5,BLG,5,-3.66211,56.649189,298183.5659,752055.3229,84.63662
BLG NB6,BLG,6,-3.662148,56.648829,298180.2648,752015.3136,82.068878
BLG NB7,BLG,7,-3.6649,56.650106,298014.9895,752161.5296,75.606674
BLG NB8,BLG,8,-3.665378,56.65013,297985.7489,752164.9124,73.260376
CAL NB1,CAL,1,-3.971685,56.770569,279592.9315,766066.3517,196.760254
CAL NB2,CAL,2,-3.972081,56.770415,279568.2388,766049.9104,190.60408
CAL NB3,CAL,3,-3.972214,56.770734,279561.134,766085.6454,196.449112
CAL NB4,CAL,4,-3.972558,56.770411,279539.077,766050.305,185.231567
CAL NB5,CAL,5,-3.972998,56.770894,279513.7383,766104.832,193.465912
CAL NB6,CAL,6,-3.973327,56.770516,279492.4212,766063.3445,181.090576
CAL NB7,CAL,7,-3.973499,56.771012,279483.5017,766118.8465,195.017212
CAL NB8,CAL,8,-3.973854,56.770778,279461.0576,766093.4304,191.467926
CRU NB1,CRU,1,-4.180411,56.992999,267627.7391,791206.063,295.321655
CRU NB2,CRU,2,-4.180415,56.992665,267626.3092,791168.9014,293.712677
CRU NB3,CRU,3,-4.180487,56.992259,267620.4929,791123.859,298.310089
CRU NB4,CRU,4,-4.180689,56.991842,267606.7404,791077.8447,298.53656
CRU NB5,CRU,5,-4.180788,56.991453,267599.3441,791034.7466,298.699707
CRU NB6,CRU,6,-4.180918,56.990963,267589.7055,790980.4688,296.90921
